transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,Profit,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,age,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfm_score,customer_title,age_group,detail_cust_title,rank
1,2,2950,2017-02-25,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,17.869999999999997,Kristos,Anthony,Male,19,1955-01-11,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0,68,308,1,17.869999999999997,1,1,1,111,Bronze,70,Lost Customer,11
2,3,3120,2017-05-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701.0,1702.5499999999995,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,44,61,3,2179.29,3,2,3,323,Gold,50,Potential Customer,5
6862,4,3120,2017-10-05,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,40649.0,451.6500000000001,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,44,61,3,2179.29,3,2,3,323,Gold,50,Potential Customer,5
9155,91,3120,2017-10-30,1.0,Approved,Solex,Standard,medium,medium,100.35,75.26,38002.0,25.08999999999999,Lauree,O'Donnell,Female,89,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,44,61,3,2179.29,3,2,3,323,Gold,50,Potential Customer,5
3,37,402,2017-10-16,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,1544.61,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,46,56,2,1733.8899999999999,3,1,3,313,Gold,50,Late Bloomer,6
1674,47,402,2017-11-04,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991.0,189.28,Berne,Donegan,Male,9,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,46,56,2,1733.8899999999999,3,1,3,313,Gold,50,Late Bloomer,6
4,88,3135,2017-08-31,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145.0,817.36,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,61,121,5,3228.93,2,4,4,244,Silver,70,Losing Customer,7
1134,59,3135,2017-02-27,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58,34170.0,327.9799999999999,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,61,121,5,3228.93,2,4,4,244,Silver,70,Losing Customer,7
7000,98,3135,2017-02-08,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,143.36,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,61,121,5,3228.93,2,4,4,244,Silver,70,Losing Customer,7
8683,59,3135,2017-05-17,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,34170.0,327.9799999999999,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,61,121,5,3228.93,2,4,4,244,Silver,70,Losing Customer,7
9385,73,3135,2017-05-18,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,37499.0,1612.25,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,61,121,5,3228.93,2,4,4,244,Silver,70,Losing Customer,7
5,78,787,2017-10-01,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226.0,1055.82,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,26,75,8,5339.9800000000005,3,4,4,344,Gold,30,Recent Customer,4
1554,54,787,2017-01-24,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,37823.0,1279.4,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,26,75,8,5339.9800000000005,3,4,4,344,Gold,30,Recent Customer,4
1558,83,787,2017-06-18,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,38339.0,1408.91,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,26,75,8,5339.9800000000005,3,4,4,344,Gold,30,Recent Customer,4
3043,40,787,2017-08-08,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,39427.0,583.2700000000001,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,26,75,8,5339.9800000000005,3,4,4,344,Gold,30,Recent Customer,4
3692,40,787,2017-06-30,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,36498.0,583.2700000000001,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,26,75,8,5339.9800000000005,3,4,4,344,Gold,30,Recent Customer,4
3991,45,787,2017-09-10,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,35470.0,356.5,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,26,75,8,5339.9800000000005,3,4,4,344,Gold,30,Recent Customer,4
4526,22,787,2017-02-16,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,33552.0,15.080000000000004,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,26,75,8,5339.9800000000005,3,4,4,344,Gold,30,Recent Customer,4
9138,31,787,2017-10-16,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37337.0,57.72999999999999,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,26,75,8,5339.9800000000005,3,4,4,344,Gold,30,Recent Customer,4
6,25,2339,2017-03-08,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,39031.0,709.34,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,64,11,7,4177.55,4,4,4,444,Platinum,70,Platinum_customer,1
3369,60,2339,2017-05-21,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,41047.0,217.51,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,64,11,7,4177.55,4,4,4,444,Platinum,70,Platinum_customer,1
7326,53,2339,2017-12-05,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,33259.0,693.76,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,64,11,7,4177.55,4,4,4,444,Platinum,70,Platinum_customer,1
8128,90,2339,2017-02-05,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,37539.0,72.59999999999997,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,64,11,7,4177.55,4,4,4,444,Platinum,70,Platinum_customer,1
8831,16,2339,2017-11-05,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,39880.0,182.81000000000017,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,64,11,7,4177.55,4,4,4,444,Platinum,70,Platinum_customer,1
9443,68,2339,2017-12-19,1.0,Cancelled,OHM Cycles,Standard,medium,medium,1636.9,44.71,33879.0,1592.19,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,64,11,7,4177.55,4,4,4,444,Platinum,70,Platinum_customer,1
9934,25,2339,2017-07-22,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33888.0,709.34,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,64,11,7,4177.55,4,4,4,444,Platinum,70,Platinum_customer,1
7,22,1542,2017-04-21,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,15.080000000000004,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,45,133,2,213.30000000000004,2,1,1,211,Bronze,50,Almost Lost Customer,9
4160,69,1542,2017-08-19,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,198.22000000000003,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,45,133,2,213.30000000000004,2,1,1,211,Bronze,50,Almost Lost Customer,9
8,15,2459,2017-07-15,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,1279.4,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,37,123,6,2606.25,2,4,4,244,Silver,40,Losing Customer,7
1406,50,2459,2017-05-13,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,431.33,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,37,123,6,2606.25,2,4,4,244,Silver,40,Losing Customer,7
3356,0,2459,2017-07-26,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206.0,110.56,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,37,123,6,2606.25,2,4,4,244,Silver,40,Losing Customer,7
5205,95,2459,2017-07-06,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35455.0,139.2299999999999,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,37,123,6,2606.25,2,4,4,244,Silver,40,Losing Customer,7
9783,30,2459,2017-07-24,0.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556.0,456.44999999999993,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,37,123,6,2606.25,2,4,4,244,Silver,40,Losing Customer,7
9952,99,2459,2017-08-29,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991.0,189.28,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,37,123,6,2606.25,2,4,4,244,Silver,40,Losing Customer,7
9,67,1305,2017-08-10,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,33455.0,690.49,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,53,142,5,2825.0000000000005,2,4,4,244,Silver,60,Losing Customer,7
48,81,1305,2017-06-10,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009.0,502.47,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,53,142,5,2825.0000000000005,2,4,4,244,Silver,60,Losing Customer,7
1803,21,1305,2017-04-22,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,38693.0,1103.43,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,53,142,5,2825.0000000000005,2,4,4,244,Silver,60,Losing Customer,7
5048,0,1305,2017-02-13,0.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,39298.0,91.15,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,53,142,5,2825.0000000000005,2,4,4,244,Silver,60,Losing Customer,7
9526,90,1305,2017-04-07,1.0,Approved,Solex,Standard,low,medium,945.04,507.58,40618.0,437.46,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,53,142,5,2825.0000000000005,2,4,4,244,Silver,60,Losing Customer,7
10,12,3262,2017-08-30,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,1069.5500000000002,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,63,1,9,4286.01,4,4,4,444,Platinum,70,Platinum_customer,1
148,14,3262,2017-01-13,0.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838.0,152.54999999999995,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,63,1,9,4286.01,4,4,4,444,Platinum,70,Platinum_customer,1
166,78,3262,2017-11-27,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,1055.82,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,63,1,9,4286.01,4,4,4,444,Platinum,70,Platinum_customer,1
2288,84,3262,2017-03-23,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,75.48000000000002,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,63,1,9,4286.01,4,4,4,444,Platinum,70,Platinum_customer,1
6484,53,3262,2017-12-16,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470.0,693.76,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,63,1,9,4286.01,4,4,4,444,Platinum,70,Platinum_customer,1
6607,8,3262,2017-03-15,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,40649.0,187.38999999999987,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,63,1,9,4286.01,4,4,4,444,Platinum,70,Platinum_customer,1
